timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753970801234,1304,Get Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-30,,true,,5664,525,3,10,null,0,1092,960
1753970802312,1304,Get Home Page-26,200,,2_ View Details - Ultimate Thread Group 2-30,text,true,,5664,525,3,10,https://petstore.octoperf.com/actions/Catalog.action,1302,0,960
1753970802236,1457,Get Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-29,,true,,5664,525,4,14,null,0,1034,1091
1753970803267,1457,Get Home Page-26,200,,2_ View Details - Ultimate Thread Group 2-29,text,true,,5664,525,4,14,https://petstore.octoperf.com/actions/Catalog.action,1456,0,1091
1753970801818,2466,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-58,,true,,23706,1532,11,17,null,0,1066,1294
1753970801829,1648,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-58,text,true,,1452,455,7,10,https://petstore.octoperf.com/,1647,0,1294
1753970804529,365,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-58,text,true,,5664,525,10,15,https://petstore.octoperf.com/actions/Catalog.action,363,0,0
1753970804896,453,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-58,text,true,,16590,552,11,17,https://petstore.octoperf.com/images/logo-topbar.svg,338,0,0
1753970801317,2985,Get Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",1_ Search - Ultimate Thread Group 1-59,,true,,23706,1532,11,17,null,0,1094,1851
1753970801320,2187,Get Home Page-4,200,,1_ Search - Ultimate Thread Group 1-59,text,true,,1452,455,7,10,https://petstore.octoperf.com/,2187,0,1851
1753970804596,340,Get Home Page-7,200,,1_ Search - Ultimate Thread Group 1-59,text,true,,5664,525,10,15,https://petstore.octoperf.com/actions/Catalog.action,338,0,0
1753970804938,458,Get Home Page-9,200,,1_ Search - Ultimate Thread Group 1-59,text,true,,16590,552,11,17,https://petstore.octoperf.com/images/logo-topbar.svg,341,0,0
1753970803236,1154,Get Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",2_ View Details - Ultimate Thread Group 2-28,,true,,5664,525,5,17,null,0,1012,811
